project_name	publication_year	publication_doi	oil_reservoir	oil_wells	latitude	longitude	geo_loc_name	study_primary_focus	study_process	depth	temp	pH	salinity	API	NO3-	PO43-	SO42-	Ca2+	Mg2+	Na+	К+	Cl-	HCO3-	Acetate	sample_name	feature	material	collection_date	archive	archive_project	archive_accession
Cao2022	2022	10.1128/aem.02151-21	Newfoundland	None	47.62	-52.66	Canada	ecology	bioremediation	10	25	unknown	unknown	None	unknown	unknown	None	None	None	None	None	None	None	unknown	OPP-MUN01_2019_MSW_Do_T6_c_Meg	sea	seawater	2019	SRA	PRJNA704368	SRS8309091
Cao2022	2022	10.1128/aem.02151-21	Newfoundland	None	47.62	-52.66	Canada	ecology	bioremediation	10	25	unknown	unknown	None	unknown	unknown	None	None	None	None	None	None	None	unknown	OPP-MUN01_2019_MSW_Do_T6_b_Meg	sea	seawater	2019	SRA	PRJNA704368	SRS8309090
Cao2022	2022	10.1128/aem.02151-21	Newfoundland	None	47.62	-52.66	Canada	ecology	bioremediation	10	25	unknown	unknown	None	unknown	unknown	None	None	None	None	None	None	None	unknown	OPP-MUN01_2019_MSW_Do_T6_a_Meg	sea	seawater	2019	SRA	PRJNA704368	SRS8309089
Cao2022	2022	10.1128/aem.02151-21	Newfoundland	None	47.62	-52.66	Canada	ecology	bioremediation	10	25	unknown	unknown	None	unknown	unknown	None	None	None	None	None	None	None	unknown	OPP-MUN01_2019_SW_no_T0_c_Meg	sea	seawater	2019	SRA	PRJNA704368	SRS8309088
Cao2022	2022	10.1128/aem.02151-21	Newfoundland	None	47.62	-52.66	Canada	ecology	bioremediation	10	25	unknown	unknown	None	unknown	unknown	None	None	None	None	None	None	None	unknown	OPP-MUN01_2019_SW_no_T0_b_Meg	sea	seawater	2019	SRA	PRJNA704368	SRS8309087
Cao2022	2022	10.1128/aem.02151-21	Newfoundland	None	47.62	-52.66	Canada	ecology	bioremediation	10	25	unknown	unknown	None	unknown	unknown	None	None	None	None	None	None	None	unknown	OPP-MUN01_2019_SW_no_T0_a_Meg	sea	seawater	2019	SRA	PRJNA704368	SRS8309080
Cao2022	2022	10.1128/aem.02151-21	Newfoundland	None	47.62	-52.66	Canada	ecology	bioremediation	10	25	unknown	unknown	None	unknown	unknown	None	None	None	None	None	None	None	unknown	OPP-MUN01_2019_SW_no_T0_c_16S	sea	seawater	2019	SRA	PRJNA704368	SRS8309069
Cao2022	2022	10.1128/aem.02151-21	Newfoundland	None	47.62	-52.66	Canada	ecology	bioremediation	10	25	unknown	unknown	None	unknown	unknown	None	None	None	None	None	None	None	unknown	OPP-MUN01_2019_SW_no_T0_b_16S	sea	seawater	2019	SRA	PRJNA704368	SRS8309068
Tan2051	2013	10.1139/gen-2013-0069	San Juan basin	None	37.00	-108.00	USA	ecology	metabolism	unknown	unknown	unknown	unknown	None	unknown	unknown	None	None	None	None	None	None	None	None	San Juan basin coalbed production water	oil sands	solid	2011	SRA	PRJNA183510	SRS380057
Christman2020	2020	10.3389/fmicb.2020.570714	Hoover Field	MD1	29.00	-95.00	USA	ecology	methylotrophic methanogens	1450	68	unknown	168	25	unknown	unknown	None	None	None	None	None	None	None	unknown	MD1 Reservoir	oil reservoir	production fluid	2020	SRA	PRJNA613490	SRS7107045
Christman2020	2020	10.3389/fmicb.2020.570714	Hoover Field	HA6	29.00	-95.00	USA	ecology	methylotrophic methanogens	1450	68	unknown	149	25	unknown	unknown	None	None	None	None	None	None	None	unknown	HA6 Reservoir	oil reservoir	production fluid	2020	SRA	PRJNA613490	SRS7107043
Christman2020	2020	10.3389/fmicb.2020.570714	Hoover Field	HA5	29.00	-95.00	USA	ecology	methylotrophic methanogens	1450	68	unknown	unknown	25	unknown	unknown	None	None	None	None	None	None	None	unknown	HA5 Reservoir	oil reservoir	production fluid	2020	SRA	PRJNA613490	SRS7107044
Christman2020	2020	10.3389/fmicb.2020.570714	Hoover Field	HA3	29.00	-95.00	USA	ecology	methylotrophic methanogens	1450	68	unknown	181	26	unknown	unknown	None	None	None	None	None	None	None	unknown	HA3 Reservoir	oil reservoir	production fluid	2020	SRA	PRJNA613490	SRS7107042
Christman2020	2020	10.3389/fmicb.2020.570714	Hoover Field	HA2	29.00	-95.00	USA	ecology	methylotrophic methanogens	1450	68	unknown	155	25	unknown	unknown	None	None	None	None	None	None	None	unknown	HA2 Reservoir	oil reservoir	production fluid	2020	SRA	PRJNA613490	SRS7107041
Cristman 2020	2020	10.1038/s41598-020-64904-6	B9	Galveston 209	29.00	-94.00	USA	ecology	metabolism	3350	91	unknown	280	None	0.99	0.99	31	1323	361	None	None	None	None	unknown	B9 Reservoir	oil reservoir	production fluid	2016	SRA	PRJNA578106	SRS5536771
